,Variant,Transmission,km_driven,Owner_Type,Fuel,Price,Company,Car,Age
416,ALPHA SHVS  MT,Manual,38885,1st Owner,Petrol,978599,Maruti,XL6,3
417,VXI PLUS,Manual,19193,1st Owner,Petrol,426699,Maruti,S PRESSO,2
418,S10,Manual,43954,1st Owner,Diesel,1004399,Mahindra,Scorpio,7
419,ZETA 1.2 K12,Manual,57436,1st Owner,Petrol,560499,Maruti,Baleno,5
420,DELTA 1.2 K12,Manual,42903,1st Owner,Petrol,529099,Maruti,Baleno,5
421,1.5 TDCI TITANIUM PLUS,Manual,42349,1st Owner,Diesel,648999,Ford,Ecosport,5
422,35TDI PREMIUM,Automatic,87052,1st Owner,Diesel,1796299,Audi,Q3,6
423,1.5TITANIUM TDCI,Manual,16751,1st Owner,Diesel,1077799,Ford,Ecosport,1
424,VXI,Manual,18261,1st Owner,Petrol,395899,Maruti,Alto,2
425,2.0 TDI TECHNOLOGY,Automatic,77281,2nd Owner,Diesel,1949999,Audi,A6,7
426,VXI,Manual,28287,2nd Owner,Petrol,375799,Maruti,Alto K10,4
427,DELTA 1.2 K12,Manual,34241,1st Owner,Petrol,502399,Maruti,IGNIS,4
428,2.0 TDI STYLE PLUS AT,Automatic,95993,1st Owner,Diesel,1135999,Skoda,Octavia,6
429,VDI,Manual,44339,1st Owner,Diesel,725799,Maruti,Vitara Brezza,4
430,ALPHA DDIS 190,Manual,51429,2nd Owner,Diesel,593999,Maruti,Baleno,5
431,1.4 E PLUS CRDI,Manual,42720,1st Owner,Diesel,872799,Hyundai,Creta,5
432,VXI PLUS,Manual,30537,2nd Owner,Petrol,390399,Maruti,S PRESSO,3
433,ZETA 1.2 K12 AMT,Automatic,72196,1st Owner,Petrol,626899,Maruti,Baleno,5
434,VDI ABS,Manual,79736,2nd Owner,Diesel,501899,Maruti,Swift Dzire,6
435,ZDI,Manual,62245,2nd Owner,Diesel,531399,Maruti,Ciaz,7
436,1.4 E PLUS CRDI,Manual,78220,1st Owner,Diesel,765299,Hyundai,Creta,5
437,SPORTZ 1.4,Manual,45778,1st Owner,Diesel,451999,Hyundai,Elite i20,7
438,1.5 TREND TDCI,Manual,38666,1st Owner,Diesel,426399,Ford,Ecosport,8
439,ZETA 1.2 K12 AMT,Automatic,90618,1st Owner,Petrol,577299,Maruti,Baleno,5
440,E MT DIESEL,Manual,137622,2nd Owner,Diesel,396099,Honda,City,8
441,2.0 TDI MT S EDITION,Manual,68368,1st Owner,Diesel,1089449,Audi,Q3,8
442,SDRIVE 20D,Automatic,31705,2nd Owner,Diesel,1619599,BMW,X1,6
443,VDI,Manual,42161,1st Owner,Diesel,641399,Maruti,Vitara Brezza,6
444,ALPHA SHVS,Manual,56102,1st Owner,Diesel,875299,Maruti,S Cross,4
445,1.5TITANIUM TDCI,Manual,65143,1st Owner,Diesel,817799,Ford,Ecosport,4
446,VDI,Manual,27835,1st Owner,Diesel,697799,Maruti,Vitara Brezza,6
447,VDI+ SHVS,Manual,121686,2nd Owner,Diesel,458799,Maruti,Ciaz,7
448,VDI OPT,Manual,51167,2nd Owner,Diesel,637899,Maruti,Vitara Brezza,5
449,VXI,Manual,45659,1st Owner,Petrol,453349,Maruti,S PRESSO,2
450,1.5 TDCI TITANIUM PLUS,Manual,59508,1st Owner,Diesel,822599,Ford,Ecosport,4
451,VDI,Manual,47851,1st Owner,Diesel,682199,Maruti,Vitara Brezza,5
452,VXI,Manual,42796,1st Owner,Petrol,403399,Maruti,Alto,2
453,ZETA 1.2 K12 AMT,Automatic,79004,1st Owner,Petrol,607499,Maruti,Baleno,5
454,VDI (O) SHVS HYBIRD,Manual,122884,1st Owner,Diesel,449699,Maruti,Ciaz,7
455,LXI CNG,Manual,26773,1st Owner,Petrol + CNG,498899,Maruti,Alto,1
456,VDI BS IV,Manual,76009,1st Owner,Diesel,491799,Maruti,Swift Dzire,7
457,VDI ABS,Manual,47283,1st Owner,Diesel,534899,Maruti,Swift,5
458,30 TDI MT S EDITION,Manual,71795,1st Owner,Diesel,1275399,Audi,Q3,7
459,1.5 i-DTEC VX MT,Manual,77611,1st Owner,Diesel,726999,Honda,WR-V,5
460,DELTA 1.2 K12,Manual,34076,1st Owner,Petrol,530199,Maruti,IGNIS,3
